n_estimators,max_depth,min_samples_leaf,train_accuracy_t1,train_accuracy_t2,train_accuracy,valid_accuracy_t1,valid_accuracy_t2,valid_accuracy
512,50,2,1.0,1.0,1.0,0.686,0.647,0.473
512,50,4,0.998,0.998,0.996,0.69,0.651,0.476
512,50,6,0.994,0.996,0.99,0.691,0.653,0.479
512,50,8,0.99,0.992,0.983,0.693,0.652,0.482
512,50,10,0.985,0.988,0.973,0.691,0.654,0.477
512,60,2,1.0,1.0,1.0,0.686,0.647,0.473
512,60,4,0.998,0.998,0.996,0.69,0.651,0.476
512,60,6,0.994,0.996,0.99,0.691,0.653,0.479
512,60,8,0.99,0.992,0.983,0.693,0.652,0.482
512,60,10,0.985,0.988,0.973,0.691,0.654,0.477
512,70,2,1.0,1.0,1.0,0.686,0.647,0.473
512,70,4,0.998,0.998,0.996,0.69,0.651,0.476
512,70,6,0.994,0.996,0.99,0.691,0.653,0.479
512,70,8,0.99,0.992,0.983,0.693,0.652,0.482
512,70,10,0.985,0.988,0.973,0.691,0.654,0.477
512,80,2,1.0,1.0,1.0,0.686,0.647,0.473
512,80,4,0.998,0.998,0.996,0.69,0.651,0.476
512,80,6,0.994,0.996,0.99,0.691,0.653,0.479
512,80,8,0.99,0.992,0.983,0.693,0.652,0.482
512,80,10,0.985,0.988,0.973,0.691,0.654,0.477
512,90,2,1.0,1.0,1.0,0.686,0.647,0.473
512,90,4,0.998,0.998,0.996,0.69,0.651,0.476
512,90,6,0.994,0.996,0.99,0.691,0.653,0.479
512,90,8,0.99,0.992,0.983,0.693,0.652,0.482
512,90,10,0.985,0.988,0.973,0.691,0.654,0.477
512,100,2,1.0,1.0,1.0,0.686,0.647,0.473
512,100,4,0.998,0.998,0.996,0.69,0.651,0.476
512,100,6,0.994,0.996,0.99,0.691,0.653,0.479
512,100,8,0.99,0.992,0.983,0.693,0.652,0.482
512,100,10,0.985,0.988,0.973,0.691,0.654,0.477
1024,10,2,0.975,0.973,0.949,0.692,0.66,0.486
1024,10,4,0.97,0.967,0.938,0.687,0.655,0.481
1024,10,6,0.963,0.961,0.926,0.694,0.658,0.487
