n_folds,test_score,train_score,arch,fixed_parameters
4,0.5526,0.6099,"[2, 6, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4132,0.632,"[2, 6, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5868,0.3689,"[2, 6, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4132,0.632,"[2, 6, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4184,0.632,"[2, 6, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4632,0.5861,"[2, 7, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5684,0.4453,"[2, 7, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4816,0.5088,"[2, 7, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4316,0.5547,"[2, 7, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4132,0.632,"[2, 7, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4132,0.632,"[2, 7, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4632,0.5553,"[2, 7, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.6026,0.564,"[2, 7, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4579,0.6379,"[2, 7, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4132,0.632,"[2, 7, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4132,0.632,"[2, 7, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5368,0.4139,"[2, 9, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4132,0.632,"[2, 9, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4211,0.6307,"[2, 9, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5526,0.6099,"[2, 9, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4263,0.6326,"[2, 9, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5711,0.5325,"[2, 9, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
