n_folds,test_score,train_score,arch,fixed_parameters
3,0.3503,0.4541,"[56, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.4266,0.3391,"[56, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2938,0.2707,"[84, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[84, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[84, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3729,0.1973,"[84, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3136,0.4219,"[84, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3446,0.485,"[84, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2881,0.4542,"[84, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3192,0.3704,"[84, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3192,0.4699,"[84, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.387,0.3592,"[84, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3362,0.4326,"[84, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2542,0.3403,"[2, 2, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[2, 2, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.4068,0.412,"[2, 2, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[2, 2, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3475,0.4391,"[2, 2, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3164,0.4219,"[2, 2, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.339,0.4391,"[2, 2, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2853,0.3141,"[2, 2, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[2, 2, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[2, 2, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[2, 2, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.4068,0.412,"[2, 3, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[2, 3, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[2, 3, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2994,0.3174,"[2, 3, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3164,0.4219,"[2, 3, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2881,0.3636,"[2, 3, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2542,0.3403,"[2, 3, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
